"","Наименование задачи","Достигнутые результаты","Личный вклад и метрики","Ссылка на рабочее пространство","Приобретенные навыки","План улучшений","Оценка взаимодействия (0-10)","Общая удовлетворенность (0-10)","Общий балл"
"Сотрудник 1","Работа над проектом T","Снизил количество алертов на 9%","SLA соблюдены на 99.7%","https://example.com/Сотрудник1","Прокачался в контейнеризация","Улучшить документацию по процессам","8","6","3"
"Сотрудник 2","Работа над проектом B","Улучшил производительность на 1%","Обновлена база знаний","https://example.com/Сотрудник2","Прокачался в контейнеризация","Улучшить документацию по микросервисам","6","8","3"
"Сотрудник 3","Работа над проектом N","Оптимизировал подписку (+1% конверсии)","Запуск без багов","https://example.com/Сотрудник3","Прокачался в DevOps","Улучшить документацию по API","6","7","3"
"Сотрудник 4","Работа над проектом M","Улучшил производительность на 3%","SLA соблюдены на 99.8%","https://example.com/Сотрудник4","Прокачался в оптимизация","Улучшить документацию по API","5","7","2"
"Сотрудник 5","Работа над проектом G","Оптимизировал подписку (+2% конверсии)","Обновлена база знаний","https://example.com/Сотрудник5","Прокачался в автоматизация","Улучшить документацию по процессам","9","9","3"
"Сотрудник 6","Работа над проектом N","Закрыл 7 задач из бэклога","Обновлена база знаний","https://example.com/Сотрудник6","Прокачался в DevOps","Улучшить документацию по базам данных","7","10","3"
"Сотрудник 7","Работа над проектом O","Сократил время обработки на 19%","Запуск без багов","https://example.com/Сотрудник7","Прокачался в оптимизация","Улучшить документацию по API","5","9","3"
"Сотрудник 8","Работа над проектом V","Снизил количество алертов на 10%","Соблюдены сроки всех задач","https://example.com/Сотрудник8","Прокачался в автоматизация","Улучшить документацию по процессам","7","10","3"
"Сотрудник 9","Работа над проектом C","Снизил количество алертов на 1%","Достигнуты целевые показатели","https://example.com/Сотрудник9","Прокачался в контейнеризация","Улучшить документацию по микросервисам","5","5","2"
"Сотрудник 10","Работа над проектом X","Оптимизировал подписку (+3% конверсии)","Запуск без багов","https://example.com/Сотрудник10","Прокачался в контейнеризация","Улучшить документацию по процессам","7","6","3"
"Сотрудник 11","Работа над проектом J","Улучшил производительность на 5%","Соблюдены сроки всех задач","https://example.com/Сотрудник11","Прокачался в автоматизация","Улучшить документацию по документации","8","7","3"
"Сотрудник 12","Работа над проектом I","Закрыл 8 задач из бэклога","Достигнуты целевые показатели","https://example.com/Сотрудник12","Прокачался в CI/CD","Улучшить документацию по документации","8","7","3"
"Сотрудник 13","Работа над проектом E","Оптимизировал подписку (+4% конверсии)","Запуск без багов","https://example.com/Сотрудник13","Прокачался в микросервисы","Улучшить документацию по процессам","5","9","3"
"Сотрудник 14","Работа над проектом H","Оптимизировал подписку (+1% конверсии)","Достигнуты целевые показатели","https://example.com/Сотрудник14","Прокачался в контейнеризация","Улучшить документацию по базам данных","10","5","3"
